country,i,j,dist
Austria,2,2,1.7982518848673588
Belgium,2,2,1.132103328380286
Bulgaria,0,2,2.8454786552025766
Croatia,1,1,2.442571415362164
Czech Republic,1,1,1.4362821210507237
Denmark,2,2,1.1305859695236027
Estonia,0,2,2.5844938357052474
Finland,2,0,1.164175980195569
Germany,2,0,1.6333926280024882
Greece,1,1,3.811330031107575
Hungary,0,2,1.3853081352223502
Iceland,1,2,2.534319106417497
Ireland,1,2,2.534839112402329
Italy,2,0,1.323770279856423
Latvia,0,2,2.576386081232112
Lithuania,0,2,2.082866264775979
Luxembourg,1,2,4.121349696430537
Netherlands,2,0,1.7376250224151444
Norway,2,0,2.4404008079493313
Poland,0,2,1.4916499728323245
Portugal,1,1,1.2858626062629561
Slovakia,0,2,1.4179319907497985
Slovenia,1,1,1.5357119866551792
Spain,0,0,3.6150057932683555
Sweden,2,0,1.91492198042603
Switzerland,2,0,3.254320326969765
Ukraine,0,2,5.526032481342388
United Kingdom,2,0,1.9763817141765516
