K,seed,qe,dead_n,dead_frac
2,0,2.319404449948035,0,0.0
2,1,2.3205757511374414,1,0.25
2,2,2.3233883246492404,0,0.0
2,3,2.318005658478655,1,0.25
2,4,2.3213220183168595,1,0.25
2,5,2.320304657237997,2,0.5
2,6,2.3282875229939735,1,0.25
2,7,2.3186450589338508,2,0.5
2,8,2.3351764186893145,2,0.5
2,9,2.321863591863625,2,0.5
3,0,2.102174537114044,4,0.4444444444444444
3,1,2.0978549059737466,2,0.2222222222222222
3,2,2.098957573641901,3,0.3333333333333333
3,3,2.1389764059887715,5,0.5555555555555556
3,4,2.106264895564927,4,0.4444444444444444
3,5,2.0988631377817812,3,0.3333333333333333
3,6,2.10190644477485,3,0.3333333333333333
3,7,2.100437028645698,3,0.3333333333333333
3,8,2.0915681995818867,3,0.3333333333333333
3,9,2.0926551793780193,2,0.2222222222222222
4,0,2.0898562189409837,8,0.5
4,1,1.9685446473247301,7,0.4375
4,2,2.0594863488160913,10,0.625
4,3,1.9348677217254464,6,0.375
4,4,1.925823882967438,8,0.5
4,5,1.949740555947932,9,0.5625
4,6,1.987998783000274,8,0.5
4,7,1.9777764309108363,8,0.5
4,8,1.954888871360556,9,0.5625
4,9,2.0161958207295347,7,0.4375
