Country,pc1_oja,pc1_pca_lib,diff
Austria,,-1.0817476612095884,
Belgium,,-0.681094068633839,
Bulgaria,,2.60987881642048,
Croatia,,1.2701488485858357,
Czech Republic,,-0.16720949379050887,
Denmark,,-0.9551907971097169,
Estonia,,2.4877352181041097,
Finland,,-0.21056315636343742,
Germany,,-0.5923936529244792,
Greece,,1.0004719569396439,
Hungary,,1.3968983127833734,
Iceland,,-1.5837197024631102,
Ireland,,-1.808917610939198,
Italy,,-0.8532239623948349,
Latvia,,2.3060594085931685,
Lithuania,,1.53009990995271,
Luxembourg,,-3.4784349567046364,
Netherlands,,-1.8400534050753592,
Norway,,-2.106510833605666,
Poland,,1.471773827629117,
Portugal,,0.5264933349515403,
Slovakia,,0.7829659710814737,
Slovenia,,0.06754337538258576,
Spain,,-0.16376695684389564,
Sweden,,-0.8851053096517569,
Switzerland,,-3.281586128815988,
Ukraine,,4.580268066769383,
United Kingdom,,-0.34081935066733493,
